Unique Id; Longitude; Latitude
1;20.955841;32.716698
2;20.955841;32.716698
3;20.955444;32.716477
4;20.955443;32.716477
5;20.95495;32.716202
6;20.954949;32.716202
7;20.954515;32.71596
8;20.954515;32.71596
9;20.954074;32.715715
10;20.954073;32.715714
11;20.953584;32.715442
12;20.953583;32.715441
13;20.953583;32.715441
14;20.95317;32.715211
15;20.95317;32.715211
16;20.953169;32.715211
17;20.952768;32.714988
18;20.952768;32.714987
19;20.952768;32.714987
20;20.952353;32.714756
21;20.952353;32.714756
22;20.952352;32.714756
23;20.952046;32.714585
24;20.952045;32.714585
25;20.95204;32.714582
26;20.952039;32.714582
27;20.952039;32.714582
28;20.951573;32.714322
29;20.951573;32.714322
30;20.951572;32.714322
31;20.951197;32.714113
32;20.951197;32.714113
33;20.951197;32.714113
34;20.950695;32.713833
35;20.950694;32.713833
36;20.95068;32.713825
37;20.95068;32.713825
38;20.95068;32.713825
39;20.950203;32.713559
40;20.950203;32.713559
41;20.950202;32.713559
42;20.949831;32.713352
43;20.949831;32.713352
44;20.949831;32.713352
45;20.949393;32.713108
46;20.949393;32.713108
47;20.949393;32.713108
48;20.94899;32.712884
49;20.94899;32.712884
50;20.948989;32.712884
51;20.948605;32.71267
52;20.948605;32.712669
53;20.948605;32.712669
54;20.948177;32.712431
55;20.948177;32.712431
56;20.948177;32.712431
57;20.947639;32.712132
58;20.947639;32.712132
59;20.947639;32.712131
60;20.947221;32.711899
61;20.947221;32.711899
62;20.94722;32.711899
63;20.946883;32.711711
64;20.946883;32.711711
65;20.946882;32.71171
66;20.946431;32.711459
67;20.94643;32.711459
68;20.94643;32.711458
69;20.946072;32.711259
70;20.946072;32.711259
71;20.946051;32.711247
72;20.94605;32.711247
73;20.94605;32.711247
74;20.945593;32.710992
75;20.945593;32.710992
76;20.945592;32.710992
77;20.945226;32.710788
78;20.945226;32.710788
79;20.945225;32.710788
80;20.944887;32.710599
81;20.944887;32.710599
82;20.944886;32.710599
83;20.944438;32.71035
84;20.944438;32.710349
85;20.944115;32.71017
86;20.944115;32.710169
87;20.944115;32.710169
88;20.945157;32.708638
89;20.945158;32.708637
90;20.945157;32.708637
91;20.944798;32.708428
92;20.944797;32.708428
93;20.944494;32.708252
94;20.944494;32.708251
95;20.944494;32.708251
96;20.945514;32.706832
97;20.945514;32.706831
98;20.945514;32.706831
99;20.946504;32.705453
100;20.946505;32.705453
101;20.946505;32.705453
102;20.947494;32.704076
103;20.947494;32.704076
104;20.947495;32.704076
105;20.947903;32.704254
106;20.947904;32.704255
107;20.947904;32.704254
108;20.949009;32.702846
109;20.949009;32.702846
110;20.949009;32.702846
111;20.95004;32.701531
112;20.950041;32.70153
113;20.950041;32.701531
114;20.950446;32.701683
115;20.950446;32.701683
116;20.950446;32.701683
117;20.951449;32.700309
118;20.951449;32.700309
119;20.951449;32.700309
120;20.951939;32.700578
121;20.951939;32.700578
122;20.951939;32.700578
123;20.952292;32.700772
124;20.952293;32.700773
125;20.952293;32.700773
126;20.952709;32.701002
127;20.95271;32.701002
128;20.95271;32.701002
129;20.953138;32.701238
130;20.953139;32.701238
131;20.953139;32.701238
132;20.953574;32.701477
133;20.953574;32.701477
134;20.953575;32.701478
135;20.953915;32.701665
136;20.953915;32.701665
137;20.953916;32.701665
138;20.954382;32.701922
139;20.954383;32.701922
140;20.954383;32.701922
141;20.954734;32.702115
142;20.954734;32.702115
143;20.954734;32.702115
144;20.955166;32.702353
145;20.955167;32.702353
146;20.955167;32.702353
147;20.955703;32.702648
148;20.955704;32.702648
149;20.955704;32.702648
150;20.956235;32.702953
151;20.956235;32.702953
152;20.956235;32.702953
153;20.9566;32.703162
154;20.9566;32.703162
155;20.9566;32.703163
156;20.957006;32.703395
157;20.957006;32.703395
158;20.957006;32.703396
159;20.957392;32.703617
160;20.957392;32.703617
161;20.957392;32.703617
162;20.957805;32.703854
163;20.957805;32.703854
164;20.957806;32.703854
165;20.958268;32.70412
166;20.958268;32.70412
167;20.958269;32.70412
168;20.95829;32.704132
169;20.958291;32.704133
170;20.958804;32.704427
171;20.958804;32.704427
172;20.958805;32.704428
173;20.959215;32.704663
174;20.959215;32.704663
175;20.959215;32.704663
176;20.959218;32.704665
177;20.959219;32.704665
178;20.959601;32.704885
179;20.959601;32.704885
180;20.959602;32.704885
181;20.959982;32.705104
182;20.959983;32.705104
183;20.959983;32.705104
184;20.960358;32.705319
185;20.960358;32.705319
186;20.960358;32.705319
187;20.960848;32.7056
188;20.960849;32.705601
189;20.960849;32.705601
190;20.961303;32.705861
191;20.961303;32.705862
192;20.961304;32.705862
193;20.961753;32.70612
194;20.961753;32.70612
195;20.961754;32.70612
196;20.962168;32.706358
197;20.962168;32.706358
198;20.962169;32.706358
199;20.962691;32.706658
200;20.962691;32.706658
201;20.962692;32.706658
202;20.963043;32.70686
203;20.963044;32.70686
204;20.963044;32.706861
205;20.96368;32.707225
206;20.96368;32.707226
207;20.955841;32.716698
208;20.95702;32.715275
209;20.95702;32.715274
210;20.958132;32.713931
211;20.958132;32.713931
212;20.959241;32.712591
213;20.959242;32.71259
214;20.960297;32.711315
215;20.960297;32.711314
216;20.961438;32.709935
217;20.961439;32.709935
218;20.962587;32.708547
219;20.962588;32.708546
220;20.96368;32.707226
221;20.95702;32.715274
222;20.95702;32.715274
223;20.956587;32.715032
224;20.956586;32.715032
225;20.956586;32.715032
226;20.956114;32.714767
227;20.956114;32.714767
228;20.956113;32.714767
229;20.955666;32.714517
230;20.955666;32.714517
231;20.955666;32.714517
232;20.955229;32.714272
233;20.955229;32.714272
234;20.955228;32.714272
235;20.954745;32.714001
236;20.954744;32.714001
237;20.954744;32.714001
238;20.954325;32.713766
239;20.954325;32.713766
240;20.954324;32.713766
241;20.95391;32.713534
242;20.95391;32.713534
243;20.953909;32.713534
244;20.953501;32.713305
245;20.9535;32.713305
246;20.9535;32.713305
247;20.953182;32.713127
248;20.953182;32.713127
249;20.953181;32.713127
250;20.952722;32.71287
251;20.952722;32.71287
252;20.952722;32.712869
253;20.952342;32.712657
254;20.952341;32.712657
255;20.952341;32.712656
256;20.951834;32.712373
257;20.951834;32.712373
258;20.951833;32.712372
259;20.951347;32.7121
260;20.951346;32.7121
261;20.951346;32.7121
262;20.950969;32.711889
263;20.950968;32.711888
264;20.950968;32.711888
265;20.950538;32.711648
266;20.950538;32.711648
267;20.950538;32.711648
268;20.950135;32.711422
269;20.950135;32.711422
270;20.950134;32.711422
271;20.949753;32.711209
272;20.949753;32.711208
273;20.949752;32.711208
274;20.94931;32.71096
275;20.949309;32.71096
276;20.949309;32.71096
277;20.948773;32.71066
278;20.948772;32.71066
279;20.948772;32.71066
280;20.948353;32.710425
281;20.948353;32.710425
282;20.948352;32.710425
283;20.948014;32.710235
284;20.948014;32.710235
285;20.948013;32.710235
286;20.94756;32.709982
287;20.94756;32.709981
288;20.947559;32.709981
289;20.947205;32.709783
290;20.947205;32.709783
291;20.947205;32.709783
292;20.946733;32.709519
293;20.946733;32.709519
294;20.946733;32.709518
295;20.946358;32.709309
296;20.946358;32.709309
297;20.946357;32.709308
298;20.946008;32.709113
299;20.946008;32.709113
300;20.946007;32.709113
301;20.945574;32.70887
302;20.945574;32.70887
303;20.945574;32.70887
304;20.945158;32.708637
305;20.958131;32.713931
306;20.957665;32.713668
307;20.957665;32.713668
308;20.957664;32.713668
309;20.957213;32.713414
310;20.957212;32.713413
311;20.957212;32.713413
312;20.956752;32.713155
313;20.956752;32.713154
314;20.956752;32.713154
315;20.956319;32.712911
316;20.956319;32.712911
317;20.956318;32.71291
318;20.955841;32.712642
319;20.95584;32.712641
320;20.95584;32.712641
321;20.955415;32.712402
322;20.955415;32.712402
323;20.955414;32.712402
324;20.954988;32.712162
325;20.954987;32.712162
326;20.954987;32.712161
327;20.954584;32.711935
328;20.954584;32.711935
329;20.954583;32.711934
330;20.954255;32.71175
331;20.954255;32.711749
332;20.954255;32.711749
333;20.953808;32.711498
334;20.953808;32.711498
335;20.953807;32.711498
336;20.953422;32.711281
337;20.953422;32.711281
338;20.953422;32.711281
339;20.95291;32.710993
340;20.95291;32.710993
341;20.952909;32.710992
342;20.952427;32.710721
343;20.952427;32.710721
344;20.952427;32.710721
345;20.952044;32.710505
346;20.952043;32.710505
347;20.952043;32.710505
348;20.951621;32.710267
349;20.95162;32.710267
350;20.95162;32.710267
351;20.951217;32.71004
352;20.951217;32.71004
353;20.951216;32.71004
354;20.950838;32.709827
355;20.950838;32.709827
356;20.950837;32.709827
357;20.95038;32.709569
358;20.95038;32.709569
359;20.950379;32.709569
360;20.949845;32.709268
361;20.949844;32.709268
362;20.949844;32.709268
363;20.949424;32.709031
364;20.949424;32.709031
365;20.949423;32.709031
366;20.949084;32.70884
367;20.949083;32.70884
368;20.949083;32.708839
369;20.948629;32.708584
370;20.948628;32.708584
371;20.948628;32.708583
372;20.948277;32.708386
373;20.948277;32.708386
374;20.948276;32.708386
375;20.947812;32.708125
376;20.947812;32.708124
377;20.947812;32.708124
378;20.947429;32.707909
379;20.947429;32.707909
380;20.947428;32.707908
381;20.947069;32.707706
382;20.947068;32.707706
383;20.947068;32.707706
384;20.946649;32.70747
385;20.946649;32.70747
386;20.946649;32.70747
387;20.946227;32.707232
388;20.946226;32.707232
389;20.946226;32.707232
390;20.945847;32.707019
391;20.945847;32.707019
392;20.945846;32.707018
393;20.945514;32.706832
394;20.945514;32.706831
395;20.959241;32.71259
396;20.958739;32.712309
397;20.958739;32.712309
398;20.958739;32.712308
399;20.958306;32.712066
400;20.958306;32.712066
401;20.958305;32.712066
402;20.957832;32.7118
403;20.957832;32.7118
404;20.957831;32.7118
405;20.957401;32.711559
406;20.957401;32.711559
407;20.9574;32.711559
408;20.956927;32.711294
409;20.956927;32.711293
410;20.956927;32.711293
411;20.956495;32.711051
412;20.956495;32.711051
413;20.956494;32.711051
414;20.956054;32.710804
415;20.956053;32.710804
416;20.956053;32.710804
417;20.955655;32.710581
418;20.955654;32.71058
419;20.955654;32.71058
420;20.955315;32.71039
421;20.955314;32.71039
422;20.955314;32.710389
423;20.954879;32.710146
424;20.954878;32.710145
