Starting Coordinate; End Coordinate; True Distance(m) 
[20.887117837, 52.289438111];[20.8869172, 52.184593867];11686.49361492797
[20.8869172, 52.184593867];[21.122340148, 52.185103895];16128.545480479634
[21.122340148, 52.185103895];[21.125071433, 52.277730121];10324.616691344872
[21.125071433, 52.277730121];[21.338925188, 52.262455285];14719.158043730851
[21.338925188, 52.262455285];[21.423118148, 52.222082886];7307.806587994427
[21.423118148, 52.222082886];[21.799185461, 52.014779633];34621.441736702094
[21.799185461, 52.014779633];[21.780427758, 51.988947943];3153.382192381297
[21.780427758, 51.988947943];[20.871376466, 52.024720119];62640.31837053305
[20.871376466, 52.024720119];[20.889069481, 52.161505063];15294.986601559862
